,Rank,University,Town
0,1,University of the Philippines Diliman,Quezon City ...
1,2,Ateneo de Manila University,Quezon City ...
2,3,University of the Philippines System,Quezon City
3,4,De La Salle University,Manila ...
4,5,University of Santo Tomas,Manila
5,6,Polytechnic University of the Philippines,Manila ...
6,7,University of the Philippines Los Baños,Los Baños
7,8,University of the Philippines Manila,Manila ...
8,9,University of San Carlos,Cebu City
9,10,University of Cebu,Cebu City ...
10,11,Our Lady of Fatima University,Valenzuela City ...
11,12,Batangas State University,Batangas City ...
12,13,De La Salle-College of Saint Benilde,Manila
13,14,Silliman University,Dumaguete City
14,15,Mapúa University,Manila ...
15,16,Adamson University,Manila
16,17,"Saint Louis University, Baguio City",Baguio City
17,18,Visayas State University,Baybay ...
18,19,Mindanao State University - Iligan Institute of Technology,Iligan City
19,20,Centro Escolar University,Manila ...
20,21,University of the East,Manila ...
21,22,Tarlac State University,Tarlac City
22,23,Ateneo de Davao University,Davao City
23,24,University of Mindanao,Davao City ...
24,25,Xavier University-Ateneo de Cagayan,Cagayan de Oro City
25,26,University of the Philippines in the Visayas,Iloilo City ...
26,27,University of San Jose-Recoletos,Cebu City ...
27,28,Technological Institute of the Philippines,Manila ...
28,29,Central Philippine University,Iloilo City
29,30,Asian Institute of Management,Makati City
30,31,Caraga State University,Butuan City ...
31,32,Technological University of the Philippines,Manila ...
32,33,"National University, Philippines",Manila
33,34,Pamantasan ng Lungsod ng Maynila,Manila
34,35,Cebu Technological University,Cebu City
35,36,University of Batangas,Batangas City
36,37,Mindanao State University,Marawi City ...
37,38,University of Southeastern Philippines,Davao City ...
38,39,De La Salle Medical and Health Sciences Institute,Dasmariñas City
39,40,Far Eastern University,Manila ...
40,41,Western Mindanao State University,Zamboanga City ...
41,42,Miriam College,Quezon City
42,43,Bicol University,Legazpi City ...
43,44,University of Baguio,Baguio City
44,45,University of Science and Technology of Southern Philippines,Cagayan de Oro City ...
45,46,Eastern Visayas State University,Tacloban City
46,47,Central Mindanao University,Maramag
47,48,Lyceum of the Philippines University,Manila ...
48,49,University of St. La Salle,Bacolod City
49,50,Ateneo de Naga University,Naga City ...
50,51,University of the Philippines Baguio,Baguio City
51,52,Mariano Marcos State University,Batac ...
52,53,Cavite State University,Indang ...
53,54,Emilio Aguinaldo College,Manila ...
54,55,University of Asia and the Pacific,Pasig City
55,56,Philippine Normal University,Manila ...
56,57,Central Luzon State University,Science City of Muñoz
57,58,University of Perpetual Help System DALTA,Las Piñas City ...
58,59,University of the Philippines Mindanao,Davao City
59,60,Adventist International Institute of Advanced Studies,Silang
60,61,José Rizal University,Mandaluyong City
61,62,University of the Immaculate Conception,Davao City
62,63,San Beda University,Manila ...
63,64,Ateneo de Zamboanga University,Zamboanga City
64,65,Philippine Christian University,Manila ...
65,66,Saint Mary's University of Bayombong,Bayombong
66,67,Lorma Colleges,City of San Fernando
67,68,University of Southern Mindanao,Kabacan ...
68,69,Manila Central University,Caloocan City
69,70,Misamis University,Ozamiz City ...
70,71,De La Salle Lipa,Lipa City
71,72,West Visayas State University,Iloilo City ...
72,73,Angeles University Foundation,Angeles City
73,74,New Era University,Quezon City ...
74,75,Don Honorio Ventura Technological State University,Bacolor
75,76,Trinity University of Asia,Quezon City
76,77,National Defense College of the Philippines,Quezon City
77,78,University of Nueva Caceres,Naga City
78,79,University of the Visayas,Cebu City ...
79,80,Adventist University of the Philippines,Silang
80,81,Nueva Ecija University of Science and Technology,Cabanatuan City ...
81,82,Bulacan State University,Malolos City ...
82,83,Colegio de San Juan de Letran,Manila ...
83,84,University of the East Ramon Magsaysay,Quezon City
84,85,Aklan State University,Banga ...
85,86,Aquinas University of Legazpi,Legazpi City
86,87,Manuel S. Enverga University Foundation,Lucena City ...
87,88,Holy Angel University,Angeles City
88,89,Holy Cross of Davao College,Davao City
89,90,Iloilo Science and Technology University,Iloilo City ...
90,91,University of the Cordilleras,Baguio City
91,92,"Northwestern University, Philippines",Laoag City
92,93,Benguet State University,La Trinidad ...
93,94,Arellano University,Manila ...
94,95,Camarines Sur Polytechnic Colleges,Nabua ...
95,96,Pangasinan State University,Lingayen ...
96,97,Asia Pacific College,Makati City
97,98,Cagayan State University,Tuguegarao City ...
98,99,Cebu Normal University,Cebu City
99,100,AMA Computer University,Quezon City
